Case,Label,Power_W,x_mm,y_mm,Sigma,Tmax_C,Tavg_C,Pmax
Case 01,Center – Low Power & Med Spread,0.8,20.0,20.0,3.0,26.958173942419844,26.316861757272534,13865.314636004556
Case 02,Center – Med Power,1.0,20.0,20.0,1.0,27.989917921947725,26.654066925426662,132794.23194895955
Case 03,Center – High Power,1.2,20.0,20.0,1.0,28.587901506337218,26.984880310511997,159353.07833875148
Case 04,Center – Tight Spread,1.0,20.0,20.0,0.5,28.24356376511788,26.654816053896866,308543.5287109444
Case 05,Center – Broad Spread,1.0,20.0,20.0,3.0,27.44771742802479,26.64607719659067,17331.643295005695
Case 06,Bottom-Left Quarter,1.0,10.0,10.0,1.0,28.167502900693098,26.554158601893562,152110.74786599883
Case 07,Left Edge,1.0,4.0,20.0,1.0,28.66544262744031,26.659441874761935,140716.26716166
Case 08,Top-Left Corner,1.0,4.0,36.00000000000001,1.0,28.72652467549687,26.398174253131724,149110.9030362279
