,top,bottom,left,right,core,total
0,1.1428312063217163,1.0709271430969238,15587.2568359375,13129.4375,69.25479125976562,28788.162109375
1,26.100557327270508,1.2138397693634033,1696.338134765625,1039.37109375,66.75277709960938,2829.7763671875
2,84.4134292602539,1.4384745359420776,2052.3134765625,2622.339599609375,66.66667938232422,4827.17138671875
3,111.14751434326172,1.2733306884765625,5388.92529296875,5359.05126953125,66.66722869873047,10927.064453125
4,98.80736541748047,1.0181909799575806,4394.8837890625,3804.94189453125,66.18921661376953,8365.8408203125
5,73.92632293701172,0.8139301538467407,1953.23046875,1344.377685546875,65.81299591064453,3438.161376953125
6,51.817901611328125,0.6860837340354919,519.3948364257812,114.6108627319336,65.81222534179688,752.3218994140625
7,37.00642776489258,0.6112968921661377,566.6975708007812,227.64111328125,66.1146240234375,898.071044921875
8,28.659042358398438,0.5602158904075623,1401.295166015625,912.4796752929688,66.4935302734375,2409.48779296875
9,24.657251358032227,0.5171105265617371,2106.7392578125,1455.3782958984375,66.74775695800781,3654.039794921875
10,23.4680233001709,0.4774240255355835,2207.1611328125,1556.47509765625,66.79771423339844,3854.37939453125
11,24.30735206604004,0.4409826099872589,1759.373291015625,1258.365478515625,66.66866302490234,3109.15576171875
12,26.82019805908203,0.4087609648704529,1083.6690673828125,763.1825561523438,66.43164825439453,1940.51220703125
13,30.816938400268555,0.381578654050827,508.99957275390625,297.535888671875,66.16053771972656,903.89453125
14,36.026859283447266,0.36053991317749023,234.78787231445312,34.69989776611328,65.9118881225586,371.78704833984375
15,41.81636428833008,0.34792760014533997,283.1632995605469,43.983009338378906,65.71808624267578,435.0286560058594
16,46.97725296020508,0.3456484377384186,518.354248046875,259.32867431640625,65.5867919921875,890.5925903320312
17,49.941123962402344,0.35060176253318787,734.7276611328125,504.39154052734375,65.50627899169922,1354.9171142578125
18,49.611061096191406,0.3535615801811218,785.5574340820312,606.72998046875,65.458251953125,1507.710205078125
19,46.0517578125,0.34564557671546936,656.808349609375,516.7232055664062,65.43113708496094,1285.360107421875
20,40.36146926879883,0.32488009333610535,436.880615234375,314.76251220703125,65.42340087890625,857.7528686523438
21,34.01258087158203,0.2963050305843353,237.34678649902344,125.46284484863281,65.43746948242188,462.5559997558594
22,28.229652404785156,0.2674737572669983,131.70106506347656,31.36606216430664,65.47234344482422,257.0365905761719
23,23.69835090637207,0.24419456720352173,134.95362854003906,41.59282302856445,65.5213623046875,266.0103759765625
24,20.59617042541504,0.22873443365097046,213.89759826660156,112.42837524414062,65.57476043701172,412.72564697265625
25,18.786897659301758,0.22003546357154846,311.11346435546875,187.26962280273438,65.62397766113281,583.0139770507812
26,18.01947593688965,0.21512900292873383,371.66845703125,226.5258331298828,65.66419982910156,682.0930786132812
27,18.051883697509766,0.21137076616287231,365.07958984375,217.31143188476562,65.69465637207031,666.3489379882812
28,18.700477600097656,0.20848122239112854,295.3231201171875,168.6154022216797,65.71722412109375,548.564697265625
29,19.84213638305664,0.20878596603870392,195.03175354003906,101.6287841796875,65.73471069335938,382.4461669921875
30,21.387958526611328,0.2152414172887802,107.12173461914062,40.811134338378906,65.74945068359375,235.2855224609375
31,23.23463249206543,0.2288932055234909,63.14025115966797,6.408081531524658,65.76278686523438,158.77464294433594
32,25.203603744506836,0.24798859655857086,69.18647766113281,7.5598297119140625,65.77552795410156,167.97341918945312
33,27.00040626525879,0.2692866325378418,106.37060546875,37.361331939697266,65.788818359375,236.7904510498047
34,28.2454776763916,0.29000309109687805,144.47462463378906,74.49081420898438,65.80470275878906,313.30560302734375
35,28.601829528808594,0.30878785252571106,159.42430114746094,94.54235076904297,65.82573699951172,348.7030029296875
36,27.940263748168945,0.32568058371543884,143.91354370117188,85.52608489990234,65.85389709472656,323.5594482421875
37,26.41974449157715,0.3416290581226349,107.07102966308594,55.080020904541016,65.88945007324219,254.80186462402344
38,24.41448974609375,0.35778772830963135,66.5807113647461,22.93581771850586,65.93021392822266,180.21902465820312
39,22.34335708618164,0.3750094473361969,39.078514099121094,5.916777610778809,65.97200012207031,133.6856689453125
40,20.518814086914062,0.3939869999885559,32.85660934448242,8.247886657714844,66.01005554199219,128.02734375
41,19.089061737060547,0.415599524974823,44.921546936035156,22.689395904541016,66.04085540771484,153.15646362304688
